,Enterococcus,Enterobacteriaceae,Bacteroides,Streptococcus,Parabacteroides,Lactobacillus,UBA1819,Finegoldia,Alistipes,Fenollaria,Erysipelatoclostridium,Bilophila,Phascolarctobacterium,Eisenbergiella,Akkermansia,Campylobacter,Anaerococcus,Bifidobacterium,Peptoniphilus,Hungatella,Ezakiella,Dialister,[Clostridium] innocuum group,Flavonifractor,Odoribacter,Parasutterella,Barnesiella,DTU089,Ruminococcus
198S1,-6.734591659972948,-4.850746274438327,-0.334995957936369,-6.734591659972948,-3.578396172667654,-6.734591659972948,-6.734591659972948,-6.734591659972948,-2.398415795084939,-4.3337856621048205,-6.734591659972948,-6.317083343231754,-5.0361494977696895,-5.336254090220028,-6.734591659972948,-4.914259680160653,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-5.559397641534238,-4.930788982111864,-3.6685472696619517,-6.734591659972948,-2.9944482840727007,-6.386076214718706,-3.93753720910158
198S5,-6.734591659972948,-5.7164274648243785,-0.6647701962052011,-6.734591659972948,-1.3394918926446477,-6.734591659972948,-4.500032140499885,-6.409574645384324,-5.493283913510169,-4.716255248969521,-4.693526997891965,-6.734591659972948,-6.734591659972948,-4.812715515157083,-4.649563874470849,-5.685655806157625,-7.236253218568791,-6.734591659972948,-6.734591659972948,-3.008377263722168,-6.734591659972948,-6.734591659972948,-3.8591533884856966,-4.864675254087794,-6.697256717836105,-6.734591659972948,-2.6586010614745925,-6.734591659972948,-6.879578274630059
200S1,-5.310928960086813,-3.1466485384699476,-0.6089345894631816,-6.734591659972948,-3.8689239919529164,-6.734591659972948,-6.734591659972948,-3.7225444568505446,-3.512249048014184,-4.058165991591444,-6.734591659972948,-4.71622185234012,-6.734591659972948,-6.734591659972948,-6.734591659972948,-5.038995244603171,-2.8470757194966447,-5.156778280259554,-3.0999110606182576,-6.734591659972948,-4.337942884536113,-1.842592275587029,-6.734591659972948,-5.62678190950529,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
201S1,-6.734591659972948,-6.734591659972948,-1.2284396738731032,-6.734591659972948,-4.445090803719193,-6.734591659972948,-7.3354625616153575,-1.8686690450954193,-2.904645762772044,-1.8814243200705454,-3.9309373898605275,-6.734591659972948,-5.127188148092554,-6.865458932369622,-6.734591659972948,-4.581801849261096,-2.4213381678999455,-6.734591659972948,-2.0701850491455214,-6.734591659972948,-3.5883141993774457,-6.236850272947248,-6.734591659972948,-5.787900052899345,-4.235370272737124,-5.649063608045129,-3.9926007569661657,-7.440823077273184,-6.734591659972948
202S1,-6.734591659972948,-6.734591659972948,-3.0352710243423964,-7.162405409387488,-6.734591659972948,-6.734591659972948,-3.0066522190367437,-6.063793120719378,-6.734591659972948,-3.859188436085536,-6.734591659972948,-6.734591659972948,-6.734591659972948,-4.146870508537317,-1.3890968720826766,-6.574618744485369,-0.6286165714541442,-6.734591659972948,-2.9053752648882916,-6.734591659972948,-6.063793120719378,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
202S5,-3.899443192839978,-6.734591659972948,-0.3665679872026227,-6.734591659972948,-1.4631531111789633,-4.774911930193878,-4.115666301309614,-6.734591659972948,-5.873524218861988,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.566671399421933,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
203S1,-6.734591659972948,-3.0616991331300634,-1.146406181117187,-5.732393547688504,-6.734591659972948,-6.530901243906276,-3.7652811909825883,-6.734591659972948,-2.7217726616407627,-6.734591659972948,-4.358677968775474,-6.734591659972948,-0.7334935098106696,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-5.09053966151611,-5.064564175112849,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-4.206337244193455
204S1,-6.734591659972948,-1.2171563010605249,-6.734591659972948,-3.8000846252509084,-6.734591659972948,-0.5341622077895911,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-2.7230592846378796,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
205S1,-6.734591659972948,-6.734591659972948,-0.531516843795648,-6.734591659972948,-3.083686474610786,-6.734591659972948,-2.7021382659269135,-5.082841138184912,-1.5254861633225965,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.408510877488367,-6.734591659972948,-6.734591659972948,-6.756817571756583,-6.734591659972948,-6.734591659972948,-3.928518242502796,-6.734591659972948,-6.734591659972948,-4.437703176811326,-4.781579807606749,-4.55037633931544,-6.734591659972948,-6.734591659972948,-6.128208912334209,-6.676774864083047
205S5,-6.734591659972948,-6.734591659972948,-0.4638673073602235,-6.559775283063548,-2.8952644199665696,-6.734591659972948,-2.6214349693180288,-6.734591659972948,-1.7267320069422387,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-7.083023426828096,-6.734591659972948,-6.859879875513886,-6.734591659972948,-6.734591659972948,-3.975079162667177,-6.734591659972948,-4.029612041687427,-6.734591659972948,-6.734591659972948,-6.421624944582731,-6.026970752578782
207S1,-2.7060276241803525,-2.8793166152693437,-1.5968220161105775,-4.937704747751347,-4.062732165207923,-0.8326047411803206,-6.803572189133124,-3.143963117319301,-3.465888213193294,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.001225716608187,-5.105841669553345,-6.734591659972948,-6.734591659972948,-3.020257063359795,-8.115758578099292,-2.9774423050566896,-5.308078536048241,-6.734591659972948,-4.536215788022822,-5.950794862981295,-7.22845538309839,-8.115758578099292,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
208S1,-0.11132759650392991,-3.8247912562484045,-5.309066025728499,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-3.02428555736796,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.532841457350615,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
209S1,-3.967109772605036,-3.7460376409534546,-0.14912560073860326,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.035368017235487,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-3.9374155900209473,-3.41945391647905,-4.746164780290917,-6.734591659972948,-5.573403734549169,-7.703430773017111,-6.734591659972948,-6.734591659972948,-6.734591659972948,-5.11269202067266,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.8862309437871865,-6.734591659972948
